username,repo_name,stars,repo_url
jwasham,coding-interview-university,253000,https://github.com/jwasham/coding-interview-university
trekhleb,javascript-algorithms,166000,https://github.com/trekhleb/javascript-algorithms
CyC2018,CS-Notes,163000,https://github.com/CyC2018/CS-Notes
TheAlgorithms,Python,156000,https://github.com/TheAlgorithms/Python
yangshun,tech-interview-handbook,88500,https://github.com/yangshun/tech-interview-handbook
kdn251,interviews,59500,https://github.com/kdn251/interviews
TheAlgorithms,Java,51000,https://github.com/TheAlgorithms/Java
azl397985856,leetcode,50900,https://github.com/azl397985856/leetcode
algorithm-visualizer,algorithm-visualizer,42600,https://github.com/algorithm-visualizer/algorithm-visualizer
youngyangyang04,leetcode-master,37300,https://github.com/youngyangyang04/leetcode-master
halfrost,LeetCode-Go,29400,https://github.com/halfrost/LeetCode-Go
huihut,interview,28400,https://github.com/huihut/interview
donnemartin,interactive-coding-challenges,27100,https://github.com/donnemartin/interactive-coding-challenges
crossoverJie,JCSprout,27000,https://github.com/crossoverJie/JCSprout
TheAlgorithms,JavaScript,26000,https://github.com/TheAlgorithms/JavaScript
TheAlgorithms,C-Plus-Plus,23800,https://github.com/TheAlgorithms/C-Plus-Plus
keon,algorithms,22400,https://github.com/keon/algorithms
trekhleb,homemade-machine-learning,21100,https://github.com/trekhleb/homemade-machine-learning
mxgmn,WaveFunctionCollapse,21000,https://github.com/mxgmn/WaveFunctionCollapse
AtsushiSakai,PythonRobotics,18000,https://github.com/AtsushiSakai/PythonRobotics
